Name,Landfläche 2018 [m²],Landfläche 2025 [m²],Differenz der Landflächen [m²]
Alexandra_Bank,0.0,23200.0,23200.0
Alison_Reef,8700.0,42200.0,33500.0
Amboyna_Cay,7900.0,22700.0,14800.0
Antelope_Reef,167100.0,35100.0,-132000.0
Ardasier_Reef,300.0,5000.0,4700.0
Barque_Canada_Reef,467300.0,85900.0,-381400.0
Bombay_Reef,451700.0,3200.0,-448500.0
Central_Reef,1406000.0,220900.0,-1185100.0
Collins_Reef,159700.0,0.0,-159700.0
Commodore_Reef,100.0,4700.0,4600.0
Cornwallis_South_Reef,7300.0,114300.0,107000.0
Cuarteron_Reef,147600.0,233900.0,86300.0
Discovery_Great_Reef,0.0,4100.0,4100.0
Drummond_Island,374500.0,215400.0,-159100.0
Duncan_Islands,657900.0,696400.0,38500.0
East_Reef,0.0,29300.0,29300.0
Erica_Reef,16500.0,10500.0,-6000.0
Fiery_Cross_Reef,9100.0,2742000.0,2732900.0
Flat_Island,298900.0,9600.0,-289300.0
Gaven_Reefs,114800.0,125600.0,10800.0
Grainger_Bank,24700.0,17100.0,-7600.0
Grierson_Reef,28000.0,103300.0,75300.0
Hughes_Reef,62400.0,77700.0,15300.0
Investigator_Shoal,3502300.0,21000.0,-3481300.0
Itu_Aba_Island,475700.0,453000.0,-22700.0
Johnson_Reef,1501600.0,105300.0,-1396300.0
Ladd_Reef,0.0,517200.0,517200.0
Lansdowne_Reef,58000.0,36500.0,-21500.0
Lincoln_Islands,1561600.0,1837100.0,275500.0
Loaita_Cay,19700.0,8200.0,-11500.0
Loaita_Island,81000.0,70800.0,-10200.0
Mariveles_Reef,506000.0,13600.0,-492400.0
Middle_Island,132100.0,129000.0,-3100.0
Mischief_Reef,3948800.0,5922900.0,1974100.0
Money_Island,697800.0,410400.0,-287400.0
Namyit_Island,124900.0,672800.0,547900.0
Nanshan_Island,185700.0,71600.0,-114100.0
North_Island,13700.0,458100.0,444400.0
North_Reef,361900.0,900.0,-361000.0
Northeast_Cay,91700.0,152200.0,60500.0
Observation_Bank,108200.0,17200.0,-91000.0
Pattle_Island,208800.0,317100.0,108300.0
Pearson_Reef,1732400.0,632300.0,-1100100.0
Petley_Reef,4300.0,88300.0,84000.0
Prince_Consort_Bank,84200.0,57600.0,-26600.0
Prince_of_Wales_Bank,0.0,10900.0,10900.0
Quanfu_Island,78700.0,29000.0,-49700.0
Rifleman_Bank,125500.0,4000.0,-121500.0
Robert_Island,309800.0,330000.0,20200.0
Sand_Cay,62100.0,359400.0,297300.0
Scarborough_Shoal,704500.0,352700.0,-351800.0
Second_Thomas_Shoal,78700.0,579900.0,501200.0
Sin_Cowe_Island,135000.0,132500.0,-2500.0
South_Island,112800.0,122700.0,9900.0
South_Reef,132100.0,490600.0,358500.0
South_Sand,50300.0,60100.0,9800.0
Southwest_Cay,200700.0,188100.0,-12600.0
Spratly_Island,0.0,394300.0,394300.0
Subi_Reef,34100.0,293600.0,259500.0
Swallow_Reef,323300.0,3400.0,-319900.0
Tennent_Reef,2481700.0,631600.0,-1850100.0
Thitu_Island,374800.0,372000.0,-2800.0
Tree_Island,332700.0,290800.0,-41900.0
Triton_Island,0.0,1089100.0,1089100.0
Vanguard_Bank,0.0,16900.0,16900.0
West_Reef,400.0,129800.0,129400.0
West_Sand,396000.0,237600.0,-158400.0
West_York_Island,191100.0,192100.0,1000.0
Woody_Island,2646900.0,3241900.0,595000.0
Yagong_Island,15000.0,8800.0,-6200.0
