Name,Landfläche 2018 [m²],Landfläche 2025 [m²],Differenz der Landflächen [m²]
Central_Reef,1406000,220900,-1185100
Flat_Island,298900,9600,-289300
Gaven_Reefs,114800,125600,10800
Grierson_Reef,28000,103300,75300
Hughes_Reef,62400,77700,15300
Itu_Aba_Island,475700,453000,-22700
Johnson_Reef,1501600,105300,-1396300
Loaita_Cay,19700,8200,-11500
Loaita_Island,81000,70800,-10200
Middle_Island,132100,129000,-3100
Mischief_Reef,3948800,5922900,1974100
Money_Island,697800,410400,-287400
Namyit_Island,124900,672800,547900
Nanshan_Island,185700,71600,-114100
Pattle_Island,208800,317100,108300
Pearson_Reef,1732400,632300,-1100100
Petley_Reef,4300,88300,84000
Robert_Island,309800,330000,20200
Sand_Cay,62100,359400,297300
Sin_Cowe_Island,135000,132500,-2500
South_Island,112800,122700,9900
South_Reef,132100,490600,358500
South_Sand,50300,60100,9800
Tennent_Reef,2481700,631600,-1850100
Thitu_Island,374800,372000,-2800
Tree_Island,332700,290800,-41900
West_Sand,396000,237600,-158400
West_York_Island,191100,192100,1000
Woody_Island,2646900,3241900,595000
