Name,Landfläche 2018 [m²],Landfläche 2025 [m²],Differenz der Landflächen [m²],S2_2
Alexandra_Bank,0,23200,23200,nein
Alison_Reef,8700,42200,33500,ja
Amboyna_Cay,7900,22700,14800,nein
Antelope_Reef,167100,35100,-132000,ja
Ardasier_Reef,300,5000,4700,ja
Barque_Canada_Reef,467300,85900,-381400,nein
Bombay_Reef,451700,3200,-448500,ja
Central_Reef,1406000,220900,-1185100,ja
Collins_Reef,159700,0,-159700,nein
Commodore_Reef,100,4700,4600,ja
Cornwallis_South_Reef,7300,114300,107000,ja
Cuarteron_Reef,147600,233900,86300,ja
Discovery_Great_Reef,0,4100,4100,nein
Drummond_Island,374500,215400,-159100,ja
Duncan_Islands,657900,696400,38500,ja
East_Reef,0,29300,29300,ja
Erica_Reef,16500,10500,-6000,ja
Fiery_Cross_Reef,9100,2742000,2732900,ja
Flat_Island,298900,9600,-289300,ja
Gaven_Reefs,114800,125600,10800,ja
Grainger_Bank,24700,17100,-7600,nein
Grierson_Reef,28000,103300,75300,ja
Hughes_Reef,62400,77700,15300,ja
Investigator_Shoal,3502300,21000,-3481300,nein
Itu_Aba_Island,475700,453000,-22700,ja
Johnson_Reef,1501600,105300,-1396300,ja
Ladd_Reef,0,517200,517200,ja
Lansdowne_Reef,58000,36500,-21500,ja
Lincoln_Islands,1561600,1837100,275500,ja
Loaita_Cay,19700,8200,-11500,ja
Loaita_Island,81000,70800,-10200,ja
Mariveles_Reef,506000,13600,-492400,ja
Middle_Island,132100,129000,-3100,
Mischief_Reef,3948800,5922900,1974100,ja
Money_Island,697800,410400,-287400,ja
Namyit_Island,124900,672800,547900,ja
Nanshan_Island,185700,71600,-114100,ja
North_Island,13700,458100,444400,nein
North_Reef,361900,900,-361000,ja
Northeast_Cay,91700,152200,60500,ja
Observation_Bank,108200,17200,-91000,ja
Pattle_Island,208800,317100,108300,ja
Pearson_Reef,1732400,632300,-1100100,ja
Petley_Reef,4300,88300,84000,ja
Prince_Consort_Bank,84200,57600,-26600,nein
Prince_of_Wales_Bank,0,10900,10900,nein
Quanfu_Island,78700,29000,-49700,
Rifleman_Bank,125500,4000,-121500,nein
Robert_Island,309800,330000,20200,ja
Sand_Cay,62100,359400,297300,ja
Scarborough_Shoal,704500,352700,-351800,ja
Second_Thomas_Shoal,78700,579900,501200,nein
Sin_Cowe_Island,135000,132500,-2500,ja
South_Island,112800,122700,9900,ja
South_Reef,132100,490600,358500,ja
South_Sand,50300,60100,9800,ja
Southwest_Cay,200700,188100,-12600,ja
Spratly_Island,0,394300,394300,ja
Subi_Reef,34100,293600,259500,nein
Swallow_Reef,323300,3400,-319900,nein
Tennent_Reef,2481700,631600,-1850100,ja
Thitu_Island,736500,396800,-339700,ja
Tree_Island,332700,290800,-41900,ja
Triton_Island,0,1089100,1089100,ja
Vanguard_Bank,0,16900,16900,nein
West_Reef,400,129800,129400,ja
West_Sand,396000,237600,-158400,ja
West_York_Island,191100,192100,1000,ja
Woody_Island,2646900,3241900,595000,ja
Yagong_Island,29200,8800,-20400,ja
