id,island,north,south,west,east,aoi
1,Cuarteron Reef,8.89,8.84,112.8,112.87,"112.8, 8.84, 112.87, 8.89"
2,Fiery Cross Reef,9.58,9.53,112.86,112.92,"112.86, 9.53, 112.92, 9.58"
3,Gaven Reefs,10.22,10.19,114.21,114.24,"114.21, 10.19, 114.24, 10.22"
4,Hughes Reef,9.927,9.9,114.48,114.51,"114.48, 9.9, 114.51, 9.927"
5,Johnson Reef,9.75,9.69,114.26,114.3,"114.26, 9.69, 114.3, 9.75"
6,Mischief Reef,9.95,9.85,115.47,115.59,"115.47, 9.85, 115.59, 9.95"
7,Subi Reef,10.96,10.89,114.045,114.11,"114.045, 10.89, 114.11, 10.96"
8,Antelope Reef,16.495,16.43,111.56,111.62,"111.56, 16.43, 111.62, 16.495"
9,Drummond Island,16.555,16.45,111.73,111.79,"111.73, 16.45, 111.79, 16.555"
10,Duncan Islands,16.47,16.43,111.68,111.725,"111.68, 16.43, 111.725, 16.47"
11,Lincoln Island,16.69,16.65,112.7,112.75,"112.7, 16.65, 112.75, 16.69"
12,Middle Island,16.959,16.951,112.3198,112.3287,"112.3198, 16.951, 112.3287, 16.959"
13,Money Island,16.47,16.425,111.48,111.55,"111.48, 16.425, 111.55, 16.47"
14,North Island,16.973,15.9565,112.298,112.319,"112.298, 15.9565, 112.319, 16.973"
15,North Reef,17.13,17.04,111.42,111.58,"111.42, 17.04, 111.58, 17.13"
16,Observation Bank,16.605,16.56,111.69,111.73,"111.69, 16.56, 111.73, 16.605"
17,Pattle Island,16.555,16.521,111.59,111.632,"111.59, 16.521, 111.632, 16.555"
18,Quanfu Island,16.59,16.55,111.637,111.683,"111.637, 16.55, 111.683, 16.59"
19,Robert Island,16.522,16.498,111.57,111.6,"111.57, 16.498, 111.6, 16.522"
20,South Island,16.951,16.941,112.3295,112.339,"112.3295, 16.941, 112.339, 16.951"
21,South Sand,16.9315,16.9262,112.342,112.35,"112.342, 16.9262, 112.35, 16.9315"
22,Tree Island,17.005,16.955,112.24,112.2955,"112.24, 16.955, 112.2955, 17.005"
23,Triton Island,15.81,15.765,111.17,111.24,"111.17, 15.765, 111.24, 15.81"
24,West Sand,17.005,16.955,112.19,112.239,"112.19, 16.955, 112.239, 17.005"
25,Woody Island,16.86,16.81,112.31,112.37,"112.31, 16.81, 112.37, 16.86"
26,Yagong Island,16.569,16.564,111.634,111.688,"111.634, 16.564, 111.688, 16.569"
27,Scarborough Shoal,15.25,15.08,117.66,117.87,"117.66, 15.08, 117.87, 15.25"
28,Bombay Reef,16.13,15.98,112.4,112.62,"112.4, 15.98, 112.62, 16.13"
29,Ardasier Reef,7.64,7.6,113.91,113.97,"113.91, 7.6, 113.97, 7.64"
30,Erica Reef,8.12,8.09,114.11,114.15,"114.11, 8.09, 114.15, 8.12"
31,Investigator Shoal,8.21,8.04,114.48,114.82,"114.48, 8.04, 114.82, 8.21"
32,Mariveles Reef,8.02,7.92,113.86,113.97,"113.86, 7.92, 113.97, 8.02"
33,Swallow Reef,7.4,7.35,113.77,113.86,"113.77, 7.35, 113.86, 7.4"
34,Commodore Reef,8.41,8.33,115.15,115.29,"115.15, 8.33, 115.29, 8.41"
35,Flat Island,10.84,10.8,115.8,115.84,"115.8, 10.8, 115.84, 10.84"
36,Loaita Cay,10.74,10.685,114.3,114.37,"114.3, 10.685, 114.37, 10.74"
37,Loaita Island,10.69,10.65,114.4,114.44,"114.4, 10.65, 114.44, 10.69"
38,Nanshan Island,10.75,10.72,115.79,115.82,"115.79, 10.72, 115.82, 10.75"
39,Northeast Cay,11.47,11.44,114.34,114.37,"114.34, 11.44, 114.37, 11.47"
40,Second Thomas Shoal,9.82,9.64,115.82,115.91,"115.82, 9.64, 115.91, 9.82"
41,Thitu Island,11.12,11,114.15,114.42,"114.15, 11, 114.42, 11.12"
42,West York Island,11.11,11.06,115.01,115.04,"115.01, 11.06, 115.04, 11.11"
43,Itu Aba Island,10.4,10.36,114.34,114.385,"114.34, 10.36, 114.385, 10.4"
44,Alison Reef,8.86,8.75,113.86,114.08,"113.86, 8.75, 114.08, 8.86"
45,Amboyna Cay,7.91,7.88,112.91,112.94,"112.91, 7.88, 112.94, 7.91"
46,Barque Canada Reef,8.31,8.04,113.17,113.4,"113.17, 8.04, 113.4, 8.31"
47,Central Reef,8.95,8.91,112.32,112.37,"112.32, 8.91, 112.37, 8.95"
48,Collins Reef,9.79,9.75,114.24,114.28,"114.24, 9.75, 114.28, 9.79"
49,Cornwallis South Reef,8.77,8.66,114.14,114.22,"114.14, 8.66, 114.22, 8.77"
50,Discovery Great Reef,10.16,9.97,113.81,113.89,"113.81, 9.97, 113.89, 10.16"
51,East Reef,8.86,8.79,112.51,112.68,"112.51, 8.79, 112.68, 8.86"
52,Grierson Reef,9.92,9.89,114.55,114.57,"114.55, 9.89, 114.57, 9.92"
53,Ladd Reef,8.69,8.64,111.62,111.71,"111.62, 8.64, 111.71, 8.69"
54,Lansdowne Reef,9.79,9.77,114.35,114.39,"114.35, 9.77, 114.39, 9.79"
55,Namyit Island,10.2,10.16,114.33,114.39,"114.33, 10.16, 114.39, 10.2"
56,Pearson Reef,8.99,8.93,113.62,113.72,"113.62, 8.93, 113.72, 8.99"
57,Petley Reef,10.43,10.38,114.55,114.61,"114.55, 10.38, 114.61, 10.43"
58,Sand Cay,10.4,10.36,114.46,114.5,"114.46, 10.36, 114.5, 10.4"
59,Sin Cowe Island,9.9,9.87,114.315,114.345,"114.315, 9.87, 114.345, 9.9"
60,South Reef,11.41,11.36,114.28,114.32,"114.28, 11.36, 114.32, 11.41"
61,Southwest Cay,11.44,11.41,114.31,114.34,"114.31, 11.41, 114.34, 11.44"
62,Spratly Island,8.66,8.63,111.9,111.93,"111.9, 8.63, 111.93, 8.66"
63,Tennent Reef,8.89,8.82,114.61,114.7,"114.61, 8.82, 114.7, 8.89"
64,West Reef,8.91,8.82,112.16,112.28,"112.16, 8.82, 112.28, 8.91"
65,Alexandra Bank,8.12,8,110.58,110.64,"110.58, 8, 110.64, 8.12"
66,Grainger Bank,7.84,7.76,110.46,110.52,"110.46, 7.76, 110.52, 7.84"
67,Prince Consort Bank,7.91,7.86,109.96,110.01,"109.96, 7.86, 110.01, 7.91"
68,Prince of Wales Bank,8.14,8.09,110.5,110.53,"110.5, 8.09, 110.53, 8.14"
69,Rifleman Bank,7.8,7.74,111.58,111.67,"111.58, 7.74, 111.67, 7.8"
70,Vanguard Bank,7.55,7.49,109.62,109.66,"109.62, 7.49, 109.66, 7.55"
